GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Choonz,com.qa.choonz.utils,BeanUtils,49,0,4,0,8,0,4,0,2,0
Choonz,com.qa.choonz.exception,PlaylistNotFoundException,0,3,0,0,0,1,0,1,0,1
Choonz,com.qa.choonz.exception,ChoonzUsernameNotFoundException,4,0,0,0,2,0,1,0,1,0
Choonz,com.qa.choonz.exception,TrackNotFoundException,0,3,0,0,0,1,0,1,0,1
Choonz,com.qa.choonz.exception,GenreNotFoundException,0,3,0,0,0,1,0,1,0,1
Choonz,com.qa.choonz.exception,ArtistNotFoundException,0,3,0,0,0,1,0,1,0,1
Choonz,com.qa.choonz.exception,AlbumNotFoundException,0,3,0,0,0,1,0,1,0,1
Choonz,com.qa.choonz.rest.dto,AlbumGenresRelationshipDTO,67,103,11,3,7,30,8,14,1,14
Choonz,com.qa.choonz.rest.dto,GenreDTO,0,142,0,12,0,32,0,19,0,13
Choonz,com.qa.choonz.rest.dto,PlaylistDTO,0,183,0,14,0,43,0,23,0,16
Choonz,com.qa.choonz.rest.dto,TrackRelationshipDTO,4,138,5,7,2,30,5,14,0,13
Choonz,com.qa.choonz.rest.dto,GenreRelationshipDTO,0,116,0,10,0,27,0,16,0,11
Choonz,com.qa.choonz.rest.dto,AlbumArtistRelationshipDTO,29,139,11,3,2,34,7,15,0,15
Choonz,com.qa.choonz.rest.dto,ArtistDTO,0,154,0,12,0,37,0,20,0,14
Choonz,com.qa.choonz.rest.dto,AlbumRelationshipDTO,0,142,3,9,0,32,3,16,0,13
Choonz,com.qa.choonz.rest.dto,UserDTO,49,11,8,0,9,5,8,3,4,3
Choonz,com.qa.choonz.rest.dto,AlbumDTO,0,215,0,16,0,49,0,26,0,18
Choonz,com.qa.choonz.rest.dto,ArtistRelationshipDTO,0,90,0,8,0,22,0,13,0,9
Choonz,com.qa.choonz.rest.dto,TrackDTO,0,224,0,16,0,53,0,28,0,20
Choonz,com.qa.choonz,ChoonzApplication,5,3,0,0,2,1,1,1,1,1
Choonz,com.qa.choonz.persistence.domain,Album,0,227,5,11,0,55,5,22,0,19
Choonz,com.qa.choonz.persistence.domain,Playlist,0,172,0,12,0,43,0,22,0,16
Choonz,com.qa.choonz.persistence.domain,User,3,35,0,0,1,15,1,10,1,10
Choonz,com.qa.choonz.persistence.domain,Track,18,275,0,18,7,70,1,33,1,24
Choonz,com.qa.choonz.persistence.domain,Genre,0,164,0,10,0,46,0,21,0,16
Choonz,com.qa.choonz.persistence.domain,Artist,9,158,0,10,4,44,1,21,1,16
Choonz,com.qa.choonz.config,AppConfig.new WebMvcConfigurer() {...},0,18,0,0,0,3,0,2,0,2
Choonz,com.qa.choonz.config,SecSecurityConfig,0,118,0,0,0,14,0,5,0,5
Choonz,com.qa.choonz.config,AppConfig,0,12,0,0,0,3,0,3,0,3
Choonz,com.qa.choonz.service,PlaylistService,9,120,5,5,0,21,5,6,0,6
Choonz,com.qa.choonz.service,AlbumService,5,122,3,5,0,21,3,7,0,6
Choonz,com.qa.choonz.service,UserDetailsServiceImpl,28,3,0,0,4,1,1,1,1,1
Choonz,com.qa.choonz.service,SessionService,6,3,0,0,2,1,1,1,1,1
Choonz,com.qa.choonz.service,GenreService,5,114,3,5,0,19,3,7,0,6
Choonz,com.qa.choonz.service,SearchService,14,148,0,4,1,19,3,15,3,13
Choonz,com.qa.choonz.service,ArtistService,1,109,1,1,0,19,1,7,0,7
Choonz,com.qa.choonz.service,UserService,0,79,0,2,0,13,0,6,0,5
Choonz,com.qa.choonz.service,TrackService,9,130,5,7,0,22,5,7,0,6
Choonz,com.qa.choonz.rest.controller,SearchController,0,87,2,6,0,12,2,8,0,6
Choonz,com.qa.choonz.rest.controller,PlaylistController,4,53,1,1,1,8,1,6,0,6
Choonz,com.qa.choonz.rest.controller,AlbumController,4,53,1,1,1,8,1,6,0,6
Choonz,com.qa.choonz.rest.controller,UserController,0,78,0,0,0,17,0,4,0,4
Choonz,com.qa.choonz.rest.controller,TrackController,4,53,1,1,1,8,1,6,0,6
Choonz,com.qa.choonz.rest.controller,ArtistController,4,53,1,1,1,8,1,6,0,6
Choonz,com.qa.choonz.rest.controller,GenreController,4,53,1,1,1,8,1,6,0,6
Choonz,com.qa.choonz.rest.controller,RouteContoller,30,3,0,0,15,1,15,1,15,1
Choonz,com.qa.choonz.rest.controller,SessionController,0,7,0,0,0,2,0,2,0,2
Choonz,com.qa.choonz.mapper,PlaylistMapper,25,28,0,0,4,5,3,4,3,4
Choonz,com.qa.choonz.mapper,ArtistMapper,16,22,0,0,2,5,2,3,2,3
Choonz,com.qa.choonz.mapper,AlbumMapper,25,28,0,0,4,5,3,4,3,4
Choonz,com.qa.choonz.mapper,UserMapper,32,6,0,0,4,3,4,1,4,1
Choonz,com.qa.choonz.mapper,GenreMapper,16,22,0,0,2,5,2,3,2,3
Choonz,com.qa.choonz.mapper,TracksMapper,16,22,0,0,2,5,2,3,2,3
